imagefile,longitude,latitude,timestamp,time_diff,longitude_adjusted,latitude_adjusted
IMG_20230403_104137.jpg,144.768611,13.367222,2023-04-03 10:41:37,0,144.76842566666667,13.366481333333333
IMG_20230403_104143.jpg,144.768333,13.366389,2023-04-03 10:41:43,6,144.768472,13.366180499999999
IMG_20230403_104148.jpg,144.768333,13.365833,2023-04-03 10:41:48,5,144.76861100000002,13.365777799999998
IMG_20230403_104153.jpg,144.768611,13.365278,2023-04-03 10:41:53,5,144.76883320000002,13.364999999999998
IMG_20230403_104200.jpg,144.769167,13.364167,2023-04-03 10:42:00,7,144.7691666,13.3642778
IMG_20230403_104206.jpg,144.769722,13.363333,2023-04-03 10:42:06,6,144.7696112,13.363555600000002
IMG_20230403_104211.jpg,144.77,13.362778,2023-04-03 10:42:11,5,144.7700002,13.3627778
IMG_20230403_104216.jpg,144.770556,13.362222,2023-04-03 10:42:16,5,144.770278,13.362111000000002
IMG_20230403_104222.jpg,144.770556,13.361389,2023-04-03 10:42:22,6,144.77038919999998,13.361444400000002
IMG_20230403_104226.jpg,144.770556,13.360833,2023-04-03 10:42:26,4,144.77044479999998,13.360722200000001
IMG_20230403_104230.jpg,144.770278,13.36,2023-04-03 10:42:30,4,144.77033359999996,13.3598334
IMG_20230403_104236.jpg,144.770278,13.359167,2023-04-03 10:42:36,6,144.77022239999997,13.358999999999998
IMG_20230403_104244.jpg,144.77,13.357778,2023-04-03 10:42:44,8,144.77005559999998,13.3581112
IMG_20230403_104249.jpg,144.77,13.357222,2023-04-03 10:42:49,5,144.76994439999999,13.357166799999998
IMG_20230403_104254.jpg,144.769722,13.356389,2023-04-03 10:42:54,5,144.7697776,13.3562222
IMG_20230403_104301.jpg,144.769722,13.355278,2023-04-03 10:43:01,7,144.769611,13.3553888
IMG_20230403_104307.jpg,144.769444,13.354444,2023-04-03 10:43:07,6,144.76944440000003,13.354388799999999
IMG_20230403_104314.jpg,144.769167,13.353611,2023-04-03 10:43:14,7,144.76933340000002,13.3533888
IMG_20230403_104321.jpg,144.769167,13.352222,2023-04-03 10:43:21,7,144.76922240000005,13.3525554
IMG_20230403_104326.jpg,144.769167,13.351389,2023-04-03 10:43:26,5,144.76916700000004,13.351611
IMG_20230403_104330.jpg,144.769167,13.351111,2023-04-03 10:43:30,4,144.76916700000004,13.3506666
IMG_20230403_104339.jpg,144.769167,13.349722,2023-04-03 10:43:39,9,144.76916700000004,13.349777800000002
IMG_20230403_104343.jpg,144.769167,13.348889,2023-04-03 10:43:43,4,144.76922240000005,13.3488334
IMG_20230403_104350.jpg,144.769167,13.347778,2023-04-03 10:43:50,7,144.76933340000002,13.3477778
IMG_20230403_104359.jpg,144.769444,13.346667,2023-04-03 10:43:59,9,144.76961120000004,13.3466668
IMG_20230403_104404.jpg,144.769722,13.345833,2023-04-03 10:44:04,5,144.76994440000004,13.3455556
IMG_20230403_104417.jpg,144.770556,13.344167,2023-04-03 10:44:17,13,144.77033320000004,13.3445
IMG_20230403_104423.jpg,144.770833,13.343333,2023-04-03 10:44:23,6,144.77072220000002,13.3435554
IMG_20230403_104427.jpg,144.771111,13.3425,2023-04-03 10:44:27,4,144.77097225000003,13.342986
IMG_20230403_104431.jpg,144.771389,13.341944,2023-04-03 10:44:31,4,144.77111100000005,13.342592333333334
